"3110000,169"
"Q | 4 Off Suit,277891,23522"
"K | 8 Suited,97801,16538"
"K | 6 Suited,98589,15897"
"9 | 8 Off Suit,277966,29144"
"K | 7 Off Suit,276581,28907"
"6 | 4 Suited,98713,12647"
"K | J Off Suit,277768,41653"
"10 | 7 Suited,98209,14469"
"6 | 3 Off Suit,278245,19963"
"7 | 6 Suited,98021,13987"
"7 | 5 Off Suit,277848,24157"
"Q | 10 Off Suit,276961,38451"
"5 | 3 Off Suit,277421,22026"
"Q | J Off Suit,277152,40283"
"10 | 3 Off Suit,278172,19902"
"J | 4 Off Suit,277318,21991"
"Q | 5 Off Suit,277634,24672"
"J | 3 Suited,98013,12876"
"Q | 2 Off Suit,277165,22083"
"K | 7 Suited,97854,16277"
"6 | 5 Suited,98126,13644"
"K | Q Suited,97941,20764"
"A | 9 Off Suit,277301,35150"
"K | 5 Off Suit,277268,27122"
"8 | 3 Off Suit,277348,16915"
"6 | 5 Off Suit,277191,24839"
"A | 10 Suited,97993,20248"
"Q | 9 Off Suit,277621,32436"
"A | 7 Suited,98303,17926"
"3 | 2 Off Suit,276979,16500"
"2 | 2 Off Suit,138603,15557"
"K | 10 Off Suit,277081,39420"
"K | 2 Off Suit,278434,25155"
"J | 7 Off Suit,277702,25922"
"A | 6 Off Suit,277776,31756"
"Q | 2 Suited,97747,13394"
"Q | 8 Off Suit,277743,28846"
"9 | 3 Off Suit,277203,17577"
"6 | 3 Suited,98018,11567"
"7 | 6 Off Suit,276855,25996"
"K | 9 Off Suit,277147,33447"
"Q | Q Off Suit,139190,29899"
"A | 6 Suited,98130,17462"
"A | K Off Suit,277351,50273"
"8 | 5 Off Suit,278363,22633"
"K | 9 Suited,98043,17762"
"K | K Off Suit,138542,35307"
"10 | 2 Suited,97916,11961"
"8 | 6 Suited,97849,13484"
"9 | 5 Off Suit,277975,20907"
"J | 8 Suited,97840,15538"
"8 | 4 Suited,98219,11782"
"J | 6 Off Suit,277404,23390"
"9 | 9 Off Suit,138537,20692"
"A | 10 Off Suit,278543,41271"
"5 | 2 Suited,98757,11492"
"A | 2 Suited,97794,16639"
"6 | 2 Off Suit,277110,16665"
"J | 10 Off Suit,277131,38142"
"J | 7 Suited,97940,14670"
"10 | 3 Suited,98216,12220"
"K | 4 Off Suit,277588,26286"
"8 | 7 Off Suit,278048,27265"
"A | 8 Suited,97218,17847"
"8 | 8 Off Suit,139372,19431"
"J | 5 Off Suit,277650,22646"
"9 | 2 Suited,97757,10992"
"10 | 10 Off Suit,138523,23115"
"J | 9 Off Suit,278219,33014"
"Q | 6 Off Suit,277367,25373"
"A | 5 Off Suit,277075,32951"
"K | 10 Suited,97944,19513"
"7 | 7 Off Suit,138742,18389"
"4 | 4 Off Suit,139165,16255"
"9 | 4 Off Suit,277417,18358"
"10 | 9 Suited,97694,16651"
"10 | 4 Off Suit,276668,20581"
"8 | 5 Suited,98568,12953"
"8 | 7 Suited,98430,14585"
"A | 4 Off Suit,276673,32091"
"Q | 3 Off Suit,276856,22779"
"J | 9 Suited,98201,16808"
"A | 9 Suited,97711,18499"
"10 | 9 Off Suit,277928,33678"
"9 | 7 Off Suit,277380,26923"
"A | 3 Suited,97877,17561"
"J | 4 Suited,97935,13197"
"J | 2 Suited,97541,12666"
"A | 7 Off Suit,277934,32560"
"A | 5 Suited,97962,17852"
"8 | 3 Suited,97930,10826"
"8 | 6 Off Suit,277374,25239"
"K | 5 Suited,97721,15632"
"A | Q Suited,97842,21735"
"9 | 3 Suited,97712,11302"
"K | 3 Suited,97911,15017"
"9 | 5 Suited,97933,12554"
"10 | 7 Off Suit,278218,27040"
"9 | 7 Suited,98034,14378"
"Q | 8 Suited,98583,15900"
"A | 3 Off Suit,278134,31522"
"J | 5 Suited,97794,13362"
"8 | 4 Off Suit,277199,19313"
"K | 4 Suited,98139,15331"
"K | 3 Off Suit,277983,25510"
"7 | 2 Off Suit,277792,15513"
"7 | 5 Suited,98663,13251"
"10 | 8 Off Suit,277180,29790"
"10 | 8 Suited,98437,15610"
"7 | 3 Off Suit,277824,17941"
"A | 8 Off Suit,276464,33548"
"5 | 2 Off Suit,277525,18885"
"Q | 7 Off Suit,277794,26244"
"5 | 5 Off Suit,139726,16826"
"A | 2 Off Suit,277011,29917"
"Q | 5 Suited,97749,14329"
"5 | 4 Suited,98361,13272"
"A | Q Off Suit,277299,46314"
"K | Q Off Suit,278186,44606"
"A | 4 Suited,98083,17870"
"10 | 2 Off Suit,276728,18967"
"6 | 4 Off Suit,277250,22755"
"9 | 6 Off Suit,277648,23805"
"3 | 2 Suited,97830,10287"
"7 | 3 Suited,97815,11066"
"10 | 5 Suited,97816,12902"
"10 | 6 Off Suit,278067,23831"
"4 | 3 Off Suit,277607,20318"
"10 | 6 Suited,98326,13720"
"8 | 2 Off Suit,277356,16086"
"K | J Suited,97783,20018"
"A | J Off Suit,277910,43035"
"A | J Suited,98243,20814"
"9 | 2 Off Suit,276948,16521"
"Q | 10 Suited,98243,18756"
"K | 8 Off Suit,277724,30284"
"10 | 4 Suited,98170,12540"
"Q | 4 Suited,98620,14205"
"J | 8 Off Suit,277916,28985"
"6 | 2 Suited,98459,10395"
"6 | 6 Off Suit,138794,17424"
"Q | 9 Suited,97476,17047"
"9 | 8 Suited,98080,15051"
"J | J Off Suit,139259,26209"
"Q | 3 Suited,97582,14050"
"K | 2 Suited,97563,14696"
"Q | 6 Suited,97737,14778"
"9 | 4 Suited,98539,11623"
"8 | 2 Suited,98253,10658"
"3 | 3 Off Suit,138309,15755"
"K | 6 Off Suit,277365,28183"
"7 | 2 Suited,97904,10187"
"J | 6 Suited,98055,13670"
"5 | 3 Suited,97745,12367"
"9 | 6 Suited,97924,13330"
"4 | 2 Suited,97901,10931"
"Q | J Suited,98527,19416"
"4 | 3 Suited,98186,11897"
"7 | 4 Off Suit,276379,20950"
"J | 3 Off Suit,278807,21346"
"10 | 5 Off Suit,277775,21397"
"7 | 4 Suited,98164,12150"
"J | 10 Suited,98386,18646"
"A | K Suited,98050,22927"
"J | 2 Off Suit,277239,20234"
"A | A Off Suit,138994,42504"
"Q | 7 Suited,98114,14955"
"5 | 4 Off Suit,277131,24119"
"4 | 2 Off Suit,278707,17964"
