"1000000,169"
"7 | 6 Off Suit,125093,9182"
"8 | 6 Suited,43392,4923"
"A | J Suited,43608,7273"
"K | 5 Suited,43675,5391"
"K | 10 Suited,44014,6738"
"6 | 2 Suited,43221,3561"
"K | 8 Off Suit,125031,9436"
"J | 10 Off Suit,125422,13262"
"7 | 4 Off Suit,125709,7411"
"5 | 4 Off Suit,125494,8759"
"K | 8 Suited,43837,5640"
"J | 10 Suited,43698,6589"
"A | 8 Off Suit,126101,10736"
"7 | 6 Suited,43562,4900"
"J | 9 Suited,43602,5788"
"K | 7 Off Suit,125162,9068"
"J | 4 Suited,43671,4488"
"A | 8 Suited,43371,6103"
"9 | 8 Off Suit,125862,10073"
"Q | 7 Off Suit,124635,8338"
"8 | 2 Suited,43697,3648"
"Q | 8 Off Suit,125298,9109"
"Q | J Off Suit,126115,13168"
"9 | 4 Suited,43424,3929"
"5 | 2 Off Suit,125787,6620"
"K | 9 Off Suit,126086,10888"
"A | 5 Suited,43862,6228"
"A | A Off Suit,62899,13491"
"6 | 6 Off Suit,62751,6672"
"9 | 3 Off Suit,125142,5748"
"9 | 2 Off Suit,125104,5639"
"3 | 3 Off Suit,62760,6073"
"J | 3 Off Suit,125968,6815"
"6 | 4 Suited,43787,4440"
"5 | 5 Off Suit,62411,6235"
"J | 7 Off Suit,125636,8451"
"10 | 9 Off Suit,124947,11405"
"10 | 9 Suited,43960,5937"
"Q | 3 Suited,43458,4691"
"8 | 5 Off Suit,125116,7704"
"9 | 5 Suited,43314,4304"
"A | 6 Off Suit,125631,10311"
"K | 2 Suited,43561,5121"
"8 | 3 Off Suit,125090,5749"
"K | 5 Off Suit,125983,8725"
"3 | 2 Suited,43243,3616"
"9 | 3 Suited,43877,4009"
"8 | 4 Suited,43407,4091"
"Q | 10 Suited,43565,6708"
"J | 8 Off Suit,125314,9540"
"K | 7 Suited,43622,5485"
"10 | 7 Suited,43690,5034"
"K | J Suited,43749,6759"
"A | 10 Off Suit,125459,13401"
"10 | 10 Off Suit,62329,7933"
"J | 2 Suited,43213,4342"
"10 | 8 Off Suit,125262,10211"
"K | Q Off Suit,125567,14112"
"A | 4 Suited,43520,6067"
"6 | 5 Suited,43382,4611"
"Q | 5 Off Suit,125163,7947"
"A | 2 Off Suit,125608,9674"
"K | Q Suited,43600,6936"
"K | 2 Off Suit,125947,7971"
"9 | 5 Off Suit,125549,6944"
"10 | 3 Suited,43326,4250"
"J | 6 Suited,43779,4709"
"K | 9 Suited,43620,5918"
"8 | 7 Off Suit,125378,9373"
"10 | 7 Off Suit,125044,8753"
"J | 9 Off Suit,125259,10704"
"8 | 4 Off Suit,125087,6517"
"Q | 2 Off Suit,125397,6994"
"Q | 6 Off Suit,126211,8085"
"10 | 5 Off Suit,125352,7167"
"6 | 2 Off Suit,125721,5851"
"9 | 2 Suited,43320,3808"
"2 | 2 Off Suit,62828,6117"
"6 | 5 Off Suit,124895,8981"
"9 | 7 Suited,43432,5010"
"Q | 6 Suited,43790,5130"
"10 | 3 Off Suit,125862,6561"
"7 | 3 Off Suit,125019,6018"
"Q | 8 Suited,43693,5469"
"K | J Off Suit,124652,13193"
"7 | 5 Suited,43554,4726"
"6 | 3 Suited,43820,4086"
"K | 3 Off Suit,124409,8051"
"10 | 6 Off Suit,125745,8025"
"K | 3 Suited,43554,5193"
"J | 3 Suited,43930,4554"
"6 | 3 Off Suit,125634,6880"
"10 | 5 Suited,43377,4396"
"8 | 6 Off Suit,125461,8714"
"J | 5 Off Suit,125168,7350"
"9 | 6 Off Suit,125305,8220"
"9 | 4 Off Suit,125404,6049"
"7 | 4 Suited,43923,4277"
"K | 6 Off Suit,125518,9046"
"Q | 5 Suited,43296,4947"
"4 | 2 Off Suit,125554,6386"
"A | 7 Suited,43621,6070"
"Q | 4 Suited,43408,4804"
"10 | 4 Suited,43646,4449"
"A | 4 Off Suit,126045,10467"
"8 | 8 Off Suit,62167,7017"
"5 | 3 Suited,43522,4401"
"10 | 2 Off Suit,125291,6206"
"8 | 5 Suited,43725,4517"
"9 | 6 Suited,43492,4691"
"A | 7 Off Suit,125559,10469"
"A | J Off Suit,126189,13823"
"7 | 2 Suited,43424,3510"
"4 | 2 Suited,43614,3938"
"8 | 7 Suited,43581,5098"
"J | J Off Suit,63009,8736"
"10 | 8 Suited,43805,5481"
"K | 6 Suited,43565,5573"
"Q | Q Off Suit,62424,9666"
"9 | 8 Suited,43823,5404"
"A | 6 Suited,43241,6082"
"3 | 2 Off Suit,125156,5566"
"A | 9 Off Suit,125189,11214"
"A | Q Off Suit,125460,14756"
"J | 7 Suited,43453,4958"
"Q | 10 Off Suit,124799,12661"
"Q | 9 Off Suit,125368,10545"
"8 | 2 Off Suit,125624,5252"
"K | 4 Off Suit,125976,8308"
"5 | 4 Suited,43800,4713"
"4 | 4 Off Suit,62972,6100"
"J | 8 Suited,44045,5521"
"A | 5 Off Suit,124672,10755"
"Q | 3 Off Suit,125609,7439"
"A | 10 Suited,43683,6986"
"Q | J Suited,43371,6514"
"7 | 3 Suited,43452,3802"
"J | 4 Off Suit,125192,7206"
"5 | 2 Suited,43280,3939"
"10 | 2 Suited,43797,4128"
"A | 3 Off Suit,125924,10202"
"J | 5 Suited,43681,4636"
"A | 3 Suited,43795,6128"
"A | K Off Suit,125702,15912"
"K | 4 Suited,43800,5336"
"7 | 2 Off Suit,125139,5124"
"4 | 3 Off Suit,125210,7212"
"Q | 4 Off Suit,125235,7546"
"8 | 3 Suited,43478,3762"
"K | 10 Off Suit,125714,12760"
"J | 2 Off Suit,125457,6374"
"A | K Suited,43611,7435"
"9 | 9 Off Suit,62889,7322"
"Q | 2 Suited,43695,4720"
"7 | 5 Off Suit,126276,8411"
"K | K Off Suit,62326,11264"
"Q | 9 Suited,43658,5830"
"9 | 7 Off Suit,125375,9268"
"J | 6 Off Suit,125596,7687"
"10 | 6 Suited,43973,4799"
"4 | 3 Suited,43515,4110"
"10 | 4 Off Suit,125564,6616"
"7 | 7 Off Suit,62580,6835"
"A | 2 Suited,43521,5841"
"A | 9 Suited,43500,6333"
"Q | 7 Suited,43845,5063"
"A | Q Suited,43768,7414"
"5 | 3 Off Suit,125362,8063"
"6 | 4 Off Suit,125432,7961"
