"2100000,169"
"A | K Suited,13922,9423"
"A | 8 Off Suit,37023,22545"
"10 | 7 Off Suit,37156,18395"
"A | 7 Off Suit,36886,22224"
"5 | 4 Off Suit,36921,15110"
"A | 5 Suited,13754,8537"
"7 | 4 Off Suit,36899,14997"
"9 | 6 Off Suit,36767,17200"
"8 | 6 Suited,13718,6831"
"10 | 4 Suited,13853,6931"
"9 | 2 Suited,13611,6276"
"10 | 9 Off Suit,37277,19757"
"A | J Suited,13698,9050"
"5 | 3 Suited,13785,6081"
"Q | 6 Off Suit,36910,19544"
"A | 9 Suited,13823,8814"
"6 | 3 Suited,13710,5966"
"10 | 8 Off Suit,36879,18964"
"J | 3 Off Suit,36836,17279"
"4 | 2 Off Suit,36973,13156"
"9 | 9 Off Suit,18593,13303"
"10 | 6 Suited,13762,7067"
"J | 9 Off Suit,37389,20324"
"6 | 2 Suited,13817,5777"
"6 | 4 Off Suit,37233,15097"
"8 | 2 Off Suit,37054,14389"
"K | 3 Off Suit,37093,19711"
"K | 3 Suited,13780,7839"
"K | Q Suited,13660,8760"
"6 | 5 Off Suit,37266,15883"
"A | 10 Off Suit,37148,23609"
"J | 4 Suited,13680,7079"
"K | J Off Suit,36873,22735"
"8 | 7 Off Suit,36839,17357"
"5 | 3 Off Suit,36859,14402"
"Q | 8 Off Suit,36972,20360"
"9 | 4 Suited,13759,6456"
"3 | 3 Off Suit,18573,10006"
"Q | 2 Suited,13838,7339"
"8 | 3 Off Suit,36749,14857"
"3 | 2 Suited,13635,5500"
"J | 7 Suited,13716,7511"
"7 | 4 Suited,13837,6375"
"9 | 8 Off Suit,37374,18613"
"6 | 3 Off Suit,36639,14400"
"A | 5 Off Suit,36920,21840"
"10 | 3 Suited,13781,6830"
"8 | 4 Suited,13536,6314"
"9 | 7 Off Suit,36967,17834"
"K | 7 Suited,13617,8131"
"Q | 2 Off Suit,37226,18273"
"9 | 7 Suited,13777,7213"
"2 | 2 Off Suit,18717,9466"
"A | 4 Suited,13812,8481"
"A | 6 Off Suit,36821,21695"
"K | 10 Suited,13702,8690"
"10 | 8 Suited,13691,7490"
"Q | 7 Suited,13651,7771"
"10 | 10 Off Suit,18553,13743"
"10 | 2 Suited,13612,6512"
"J | 6 Suited,14053,7501"
"9 | 4 Off Suit,37066,16119"
"A | 3 Suited,13662,8242"
"K | 6 Suited,13862,8121"
"Q | 5 Suited,13867,7724"
"9 | 6 Suited,13804,6910"
"A | J Off Suit,36861,23638"
"6 | 2 Off Suit,37284,13620"
"Q | 4 Suited,13750,7521"
"K | 9 Suited,13723,8395"
"8 | 3 Suited,13647,6033"
"K | 2 Off Suit,37117,19489"
"8 | 2 Suited,13634,5940"
"5 | 4 Suited,13677,6116"
"Q | Q Off Suit,18456,14643"
"J | 4 Off Suit,36831,17700"
"K | J Suited,13737,8695"
"7 | 2 Off Suit,37171,13892"
"Q | 9 Off Suit,36704,20705"
"8 | 5 Off Suit,36992,16252"
"8 | 8 Off Suit,18529,12697"
"J | J Off Suit,18458,14020"
"Q | 3 Off Suit,36988,18501"
"A | Q Off Suit,37060,23972"
"A | 2 Off Suit,37032,20686"
"J | 5 Off Suit,37019,18252"
"A | 4 Off Suit,36709,21123"
"K | 10 Off Suit,37195,22448"
"10 | 7 Suited,13796,7358"
"J | 8 Off Suit,36946,19481"
"Q | 10 Suited,13775,8438"
"Q | J Off Suit,36978,21614"
"8 | 5 Suited,13936,6629"
"10 | 2 Off Suit,36696,16103"
"7 | 5 Suited,13750,6482"
"A | A Off Suit,18647,15679"
"4 | 4 Off Suit,18613,10538"
"10 | 4 Off Suit,36760,16703"
"3 | 2 Off Suit,37304,13191"
"K | 9 Off Suit,37186,21756"
"10 | 9 Suited,13789,7681"
"9 | 3 Off Suit,37247,15567"
"9 | 2 Off Suit,36875,15350"
"7 | 6 Suited,13614,6640"
"4 | 3 Off Suit,36853,14063"
"8 | 4 Off Suit,36891,15453"
"K | 8 Off Suit,37385,21335"
"A | 8 Suited,13669,8713"
"K | 4 Suited,13779,7929"
"7 | 7 Off Suit,18407,12017"
"Q | 10 Off Suit,36937,21458"
"A | 9 Off Suit,37147,22866"
"7 | 6 Off Suit,37017,16534"
"8 | 7 Suited,13681,6940"
"K | 6 Off Suit,37158,20685"
"7 | 2 Suited,13811,5781"
"J | 9 Suited,13829,7886"
"A | 10 Suited,13719,8995"
"10 | 5 Suited,13765,7002"
"J | 2 Suited,13744,6976"
"10 | 3 Off Suit,37083,16639"
"K | 4 Off Suit,37060,19974"
"7 | 3 Suited,13687,5980"
"Q | 8 Suited,13723,8013"
"6 | 4 Suited,13610,6085"
"J | 8 Suited,13781,7696"
"6 | 5 Suited,13793,6478"
"9 | 5 Suited,13815,6885"
"J | 10 Off Suit,37206,20807"
"K | Q Off Suit,36989,22955"
"10 | 6 Off Suit,36982,17789"
"J | 7 Off Suit,36754,18849"
"K | K Off Suit,18658,15101"
"J | 3 Suited,13863,7146"
"K | 2 Suited,13761,7753"
"A | 6 Suited,13776,8556"
"9 | 3 Suited,13811,6498"
"Q | 5 Off Suit,36908,19199"
"Q | 3 Suited,13861,7528"
"K | 8 Suited,14019,8513"
"4 | 3 Suited,13738,5849"
"Q | 7 Off Suit,36922,19610"
"Q | J Suited,13912,8523"
"J | 2 Off Suit,36930,17094"
"5 | 5 Off Suit,18482,11089"
"Q | 4 Off Suit,36600,18713"
"7 | 5 Off Suit,36734,15816"
"10 | 5 Off Suit,37273,17318"
"K | 7 Off Suit,37033,20924"
"6 | 6 Off Suit,18356,11556"
"Q | 6 Suited,13651,7659"
"A | Q Suited,13830,9290"
"Q | 9 Suited,13887,8263"
"A | 7 Suited,13742,8613"
"7 | 3 Off Suit,36491,14286"
"4 | 2 Suited,13824,5627"
"5 | 2 Suited,13699,5737"
"5 | 2 Off Suit,37126,13752"
"8 | 6 Off Suit,36973,16795"
"A | 3 Off Suit,37069,21237"
"K | 5 Off Suit,37297,20553"
"9 | 8 Suited,13609,7199"
"A | 2 Suited,13962,8310"
"J | 10 Suited,13697,8103"
"J | 6 Off Suit,37047,18528"
"9 | 5 Off Suit,36845,16599"
"J | 5 Suited,13595,7274"
"A | K Off Suit,37499,24486"
"K | 5 Suited,13523,7901"
