"11000000,169"
"K | 4 Off Suit,487324,96463"
"J | 10 Off Suit,487539,127233"
"Q | Q Off Suit,243585,105394"
"A | 4 Off Suit,486101,111604"
"9 | 3 Off Suit,487912,67636"
"5 | 4 Suited,177616,38656"
"K | 10 Suited,177159,57911"
"7 | 5 Off Suit,487162,80273"
"6 | 6 Off Suit,243697,57867"
"4 | 2 Suited,176407,32180"
"A | 8 Off Suit,486771,122107"
"K | K Off Suit,244239,117527"
"K | 9 Suited,176617,53379"
"8 | 2 Suited,177624,32979"
"K | 4 Suited,177323,46499"
"A | 8 Suited,177144,54509"
"4 | 3 Suited,177621,35099"
"Q | 4 Off Suit,487857,87733"
"8 | 6 Suited,177493,41701"
"5 | 4 Off Suit,487111,76786"
"9 | 5 Suited,177095,38988"
"Q | 4 Suited,177430,42907"
"Q | 7 Off Suit,486287,96888"
"5 | 3 Suited,177772,36386"
"Q | 5 Off Suit,488055,91569"
"K | Q Suited,177475,61407"
"9 | 4 Suited,177366,36059"
"K | 7 Off Suit,486695,106533"
"A | 7 Off Suit,487385,117599"
"10 | 3 Off Suit,486726,72756"
"8 | 8 Off Suit,243022,69021"
"J | 10 Suited,176722,54929"
"A | 7 Suited,177141,53624"
"J | 2 Off Suit,486930,75214"
"8 | 3 Off Suit,487065,62836"
"6 | 4 Off Suit,487238,74298"
"A | Q Suited,176960,63693"
"A | K Suited,178026,66693"
"10 | 7 Suited,177738,44562"
"10 | 4 Suited,177399,38681"
"K | Q Off Suit,487792,145675"
"K | 5 Off Suit,487156,99522"
"6 | 5 Suited,177865,39763"
"10 | 4 Off Suit,486573,75750"
"5 | 2 Off Suit,486906,62103"
"J | 5 Off Suit,486560,84405"
"9 | 2 Off Suit,486095,64660"
"9 | 2 Suited,178197,34951"
"K | 9 Off Suit,488125,120429"
"K | 2 Suited,177445,44635"
"8 | 4 Off Suit,487968,70558"
"Q | 8 Suited,177540,48527"
"7 | 2 Off Suit,487580,57610"
"Q | 2 Suited,177297,41199"
"7 | 4 Suited,176849,36691"
"A | 9 Suited,178119,55978"
"A | 10 Off Suit,488715,140037"
"Q | 5 Suited,176495,43639"
"7 | 6 Suited,176901,41407"
"K | 6 Suited,178285,48830"
"A | K Off Suit,487367,160428"
"A | 6 Suited,177013,51832"
"A | 10 Suited,177558,60359"
"6 | 5 Off Suit,487048,81163"
"8 | 5 Off Suit,485343,78392"
"10 | 7 Off Suit,487909,95355"
"Q | 10 Suited,176710,55741"
"8 | 7 Suited,177157,44275"
"9 | 3 Suited,177113,35444"
"3 | 3 Off Suit,243410,44363"
"7 | 3 Suited,177319,34275"
"10 | 6 Off Suit,488062,86597"
"9 | 6 Off Suit,487348,85861"
"K | 5 Suited,177822,47953"
"8 | 6 Off Suit,486392,86236"
"Q | 9 Off Suit,487684,116370"
"9 | 5 Off Suit,486820,77732"
"A | 9 Off Suit,486192,125992"
"A | 2 Suited,176961,50035"
"9 | 7 Suited,177847,44254"
"10 | 8 Suited,176969,47078"
"10 | 9 Suited,177072,50200"
"9 | 8 Suited,177082,46849"
"8 | 7 Off Suit,486026,93439"
"J | 6 Off Suit,486201,86753"
"9 | 4 Off Suit,487570,70924"
"10 | 8 Off Suit,488171,104287"
"4 | 4 Off Suit,244284,47989"
"8 | 2 Off Suit,487998,61401"
"A | Q Off Suit,485495,151505"
"J | 9 Suited,177208,50696"
"10 | 9 Off Suit,487426,113519"
"Q | 9 Suited,178101,51838"
"J | 7 Off Suit,486917,94985"
"8 | 3 Suited,177857,33926"
"J | 8 Suited,177602,47969"
"7 | 2 Suited,176699,31986"
"K | 8 Off Suit,486191,109469"
"A | J Off Suit,489239,145928"
"K | 8 Suited,176575,50362"
"J | 8 Off Suit,486341,103506"
"10 | 5 Suited,177254,39500"
"J | 3 Suited,176837,39788"
"5 | 5 Off Suit,243310,52737"
"Q | J Suited,177378,57760"
"A | 2 Off Suit,487886,104116"
"8 | 5 Suited,176887,38945"
"Q | 3 Suited,177415,41715"
"J | 4 Suited,177027,40555"
"A | 4 Suited,176624,52063"
"9 | 6 Suited,177300,40996"
"Q | 10 Off Suit,487578,129413"
"Q | 2 Off Suit,486640,81269"
"10 | 10 Off Suit,244427,85937"
"10 | 6 Suited,176645,41823"
"K | 10 Off Suit,486915,133006"
"K | J Suited,176799,58873"
"6 | 2 Suited,177598,32699"
"7 | 4 Off Suit,486304,72308"
"7 | 3 Off Suit,486779,64054"
"5 | 3 Off Suit,487308,70079"
"10 | 3 Suited,176806,37344"
"J | 5 Suited,177617,41695"
"K | 6 Off Suit,487040,103272"
"3 | 2 Off Suit,487555,55457"
"J | 7 Suited,177729,45220"
"K | 3 Suited,177537,45516"
"4 | 3 Off Suit,487329,66120"
"K | 2 Off Suit,487579,90218"
"10 | 2 Suited,178046,37115"
"A | 6 Off Suit,486461,111925"
"Q | 7 Suited,178010,45981"
"9 | 7 Off Suit,487650,93637"
"J | 9 Off Suit,486888,113811"
"9 | 9 Off Suit,243284,76623"
"10 | 2 Off Suit,487450,70462"
"Q | 8 Off Suit,486606,105725"
"3 | 2 Suited,176519,31228"
"A | 5 Suited,177309,53182"
"8 | 4 Suited,177725,36235"
"J | 2 Suited,176857,38933"
"Q | J Off Suit,488181,134934"
"5 | 2 Suited,177416,33916"
"9 | 8 Off Suit,487788,102347"
"6 | 2 Off Suit,486798,58842"
"2 | 2 Off Suit,244383,41062"
"4 | 2 Off Suit,488656,59240"
"6 | 3 Suited,176833,35297"
"10 | 5 Off Suit,487220,79394"
"6 | 4 Suited,177186,37266"
"A | J Suited,177350,61933"
"7 | 6 Off Suit,487322,86815"
"A | 3 Off Suit,488150,109148"
"A | 5 Off Suit,486129,114814"
"J | 3 Off Suit,486678,78180"
"7 | 7 Off Suit,243222,62955"
"J | 6 Suited,177811,42344"
"K | 7 Suited,176854,49383"
"Q | 6 Off Suit,486220,94448"
"7 | 5 Suited,178415,39901"
"Q | 6 Suited,177141,45430"
"Q | 3 Off Suit,487924,84934"
"6 | 3 Off Suit,488802,67313"
"J | J Off Suit,243440,94873"
"A | A Off Suit,243335,131754"
