"141000,1404"
"Seven of Diamonds | Five of Clubs,1263,118"
"Ten of Clubs | Five of Clubs,1955,341"
"Four of Hearts | Three of Spades,838,67"
"Five of Diamonds | Four of Spades,811,61"
"King of Clubs | Four of Spades,1270,145"
"Ace of Hearts | Nine of Hearts,835,119"
"King of Hearts | Five of Clubs,1297,123"
"Ten of Diamonds | Eight of Diamonds,811,98"
"King of Hearts | Seven of Diamonds,878,75"
"Ace of Spades | Eight of Hearts,823,108"
"Five of Hearts | Two of Clubs,1235,80"
"Six of Spades | Four of Hearts,860,73"
"Jack of Spades | Four of Diamonds,883,55"
"Jack of Spades | Six of Clubs,1262,98"
"Five of Spades | Five of Diamonds,432,54"
"Queen of Hearts | Seven of Spades,843,74"
"King of Clubs | Four of Clubs,1950,436"
"Queen of Diamonds | Two of Clubs,1289,95"
"Ace of Clubs | Three of Spades,1269,196"
"Four of Clubs | Three of Spades,1199,84"
"Ace of Clubs | Eight of Clubs,1893,460"
"King of Diamonds | Nine of Hearts,827,100"
"Queen of Diamonds | Jack of Hearts,804,101"
"Jack of Diamonds | Seven of Hearts,866,87"
"Jack of Clubs | Four of Clubs,1940,349"
"Jack of Diamonds | Nine of Hearts,844,105"
"Jack of Hearts | Eight of Diamonds,798,74"
"Ace of Clubs | Ten of Clubs,1919,560"
"Seven of Hearts | Three of Hearts,826,73"
"Jack of Clubs | Seven of Diamonds,1243,123"
"Four of Clubs | Three of Diamonds,1290,99"
"Nine of Diamonds | Four of Clubs,1261,72"
"Five of Hearts | Four of Diamonds,833,78"
"Ace of Spades | Eight of Clubs,1298,159"
"King of Clubs | Eight of Spades,1230,126"
"Ace of Diamonds | Two of Clubs,1312,140"
"Queen of Diamonds | Jack of Diamonds,841,133"
"King of Clubs | Ten of Diamonds,1259,212"
"Nine of Clubs | Five of Spades,1265,109"
"Ace of Diamonds | Ten of Spades,839,115"
"Nine of Clubs | Nine of Hearts,638,123"
"Jack of Clubs | Jack of Spades,615,109"
"Jack of Clubs | Six of Hearts,1292,120"
"Three of Spades | Two of Hearts,852,71"
"Ace of Hearts | Queen of Clubs,1311,201"
"Queen of Spades | Six of Spades,821,86"
"Queen of Clubs | Queen of Diamonds,618,146"
"Ace of Spades | Seven of Clubs,1243,123"
"Five of Clubs | Two of Hearts,1257,74"
"Jack of Diamonds | Four of Hearts,874,81"
"Four of Hearts | Two of Clubs,1331,72"
"Ace of Spades | King of Spades,827,147"
"Ace of Hearts | Ten of Clubs,1382,184"
"Ace of Hearts | King of Hearts,805,143"
"Jack of Hearts | Jack of Spades,419,78"
"Queen of Hearts | Jack of Hearts,821,116"
"Eight of Diamonds | Eight of Hearts,432,64"
"Ace of Hearts | Jack of Hearts,811,128"
"Ace of Clubs | Two of Clubs,1945,479"
"Jack of Hearts | Four of Spades,846,78"
"Ten of Spades | Four of Diamonds,810,56"
"Queen of Clubs | Ten of Clubs,1926,484"
"Ace of Hearts | Seven of Clubs,1257,132"
"Ten of Spades | Five of Hearts,823,67"
"Six of Hearts | Three of Diamonds,864,65"
"King of Spades | Two of Clubs,1239,89"
"Ace of Clubs | Four of Hearts,1285,197"
"King of Diamonds | Three of Clubs,1221,99"
"Queen of Hearts | Eight of Hearts,842,117"
"King of Clubs | Jack of Spades,1273,216"
"Eight of Hearts | Seven of Spades,827,97"
"Five of Spades | Four of Clubs,1281,99"
"King of Diamonds | Seven of Hearts,819,87"
"Ace of Spades | Three of Spades,843,103"
"King of Spades | Six of Clubs,1250,124"
"Jack of Hearts | Ten of Clubs,1281,183"
"Eight of Clubs | Four of Clubs,1947,307"
"Three of Spades | Two of Clubs,1342,62"
"Ace of Spades | Seven of Diamonds,883,105"
"King of Spades | Three of Diamonds,820,84"
"King of Spades | Jack of Spades,819,138"
"Ace of Spades | Ace of Diamonds,410,117"
"Seven of Clubs | Six of Hearts,1263,140"
"Three of Clubs | Three of Hearts,616,75"
"Six of Diamonds | Four of Spades,826,54"
"Ten of Clubs | Seven of Clubs,2031,405"
"Eight of Clubs | Two of Clubs,1882,254"
"Jack of Diamonds | Two of Hearts,788,55"
"Eight of Diamonds | Two of Spades,839,56"
"Ace of Clubs | King of Diamonds,1271,267"
"Queen of Diamonds | Ten of Spades,837,103"
"Ace of Clubs | Nine of Hearts,1215,159"
"Ace of Diamonds | Two of Hearts,844,87"
"Ace of Diamonds | Two of Spades,782,82"
"Ace of Hearts | Four of Clubs,1320,136"
"Jack of Hearts | Nine of Hearts,812,103"
"Jack of Hearts | Two of Spades,845,59"
"Ten of Spades | Ten of Hearts,442,81"
"Ten of Hearts | Three of Clubs,1282,99"
"Seven of Diamonds | Seven of Clubs,654,79"
"Queen of Spades | Jack of Clubs,1259,188"
"Jack of Clubs | Nine of Diamonds,1224,143"
"King of Spades | Nine of Clubs,1256,151"
"Jack of Spades | Eight of Hearts,869,87"
"Seven of Clubs | Three of Spades,1256,78"
"Jack of Spades | Eight of Spades,850,105"
"Ace of Diamonds | Four of Hearts,830,95"
"Jack of Hearts | Three of Hearts,895,84"
"Ten of Hearts | Four of Spades,817,70"
"Four of Hearts | Four of Spades,421,59"
"Ten of Spades | Three of Spades,819,72"
"Ten of Hearts | Two of Clubs,1273,81"
"Jack of Hearts | Ten of Hearts,846,133"
"King of Clubs | Six of Hearts,1327,138"
"King of Clubs | Eight of Diamonds,1236,141"
"Ace of Clubs | Five of Clubs,1918,485"
"Six of Diamonds | Five of Hearts,844,58"
"Six of Spades | Three of Hearts,837,51"
"Eight of Clubs | Six of Diamonds,1253,93"
"Ten of Spades | Three of Clubs,1272,74"
"Queen of Diamonds | Ten of Hearts,841,101"
"Ten of Hearts | Nine of Clubs,1266,157"
"King of Hearts | Five of Spades,853,72"
"Five of Spades | Five of Clubs,639,68"
"Ace of Hearts | Three of Spades,802,90"
"Queen of Diamonds | Seven of Spades,836,93"
"Ten of Hearts | Ten of Diamonds,420,75"
"Eight of Spades | Three of Hearts,841,51"
"Ten of Diamonds | Six of Clubs,1259,88"
"Ten of Diamonds | Three of Spades,828,56"
"Four of Clubs | Four of Diamonds,634,63"
"King of Diamonds | Six of Clubs,1257,99"
"Ace of Diamonds | Six of Diamonds,859,106"
"Nine of Hearts | Three of Diamonds,785,67"
"Ace of Spades | Six of Diamonds,834,91"
"Eight of Clubs | Two of Spades,1329,85"
"Jack of Clubs | Three of Hearts,1282,95"
"Queen of Spades | Six of Hearts,825,76"
"King of Diamonds | Seven of Spades,866,86"
"Ace of Clubs | Jack of Spades,1290,228"
"Jack of Clubs | Eight of Spades,1245,136"
"Five of Clubs | Four of Spades,1329,112"
"King of Spades | Ten of Hearts,790,113"
"Ten of Diamonds | Nine of Diamonds,829,89"
"Nine of Hearts | Six of Hearts,822,81"
"Two of Diamonds | Two of Hearts,382,44"
"Eight of Clubs | Five of Diamonds,1296,101"
"Eight of Clubs | Seven of Spades,1282,132"
"Six of Diamonds | Four of Diamonds,855,99"
"Queen of Diamonds | Four of Spades,848,67"
"Four of Spades | Three of Diamonds,806,64"
"Six of Spades | Three of Diamonds,868,66"
"King of Spades | Two of Hearts,809,71"
"Four of Diamonds | Four of Spades,386,54"
"Queen of Diamonds | Six of Spades,812,75"
"Jack of Diamonds | Four of Clubs,1303,105"
"Ten of Spades | Nine of Clubs,1268,148"
"Four of Clubs | Four of Spades,649,69"
"Queen of Spades | Four of Hearts,855,76"
"Nine of Diamonds | Six of Clubs,1232,105"
"Ace of Clubs | Jack of Diamonds,1245,235"
"Ten of Clubs | Nine of Diamonds,1210,126"
"Eight of Spades | Six of Clubs,1290,118"
"Seven of Hearts | Four of Spades,822,52"
"Ace of Spades | Four of Spades,845,95"
"King of Clubs | Four of Diamonds,1235,140"
"Ace of Spades | Four of Hearts,829,100"
"Jack of Diamonds | Six of Clubs,1226,88"
"Nine of Hearts | Four of Clubs,1279,75"
"King of Spades | Six of Hearts,823,79"
"Ace of Spades | Queen of Hearts,826,130"
"Six of Spades | Five of Hearts,863,84"
"Two of Hearts | Two of Clubs,610,60"
"Queen of Spades | Eight of Hearts,835,77"
"Seven of Diamonds | Five of Spades,884,72"
"Jack of Spades | Three of Hearts,861,63"
"Ace of Diamonds | Two of Diamonds,829,86"
"Five of Diamonds | Five of Hearts,434,46"
"Ace of Diamonds | King of Clubs,1247,228"
