"5603000,169"
"J | 6 Suited,142280,23444"
"J | J Off Suit,199066,47485"
"6 | 6 Off Suit,198922,29121"
"Q | 8 Suited,142258,26866"
"10 | 3 Suited,143148,21336"
"A | A Off Suit,199239,74783"
"5 | 4 Off Suit,400161,41340"
"7 | 4 Suited,142137,20616"
"K | 2 Off Suit,399779,45165"
"Q | J Off Suit,398591,71639"
"K | 8 Suited,142706,28369"
"Q | 5 Suited,142553,24792"
"2 | 2 Off Suit,200127,25310"
"A | J Suited,142789,35570"
"Q | 10 Off Suit,398843,68443"
"4 | 2 Suited,142505,18600"
"10 | 5 Suited,142421,22108"
"10 | 7 Suited,142587,24972"
"A | 10 Suited,142496,34882"
"7 | 3 Suited,142581,18996"
"K | 9 Off Suit,398188,61017"
"Q | 7 Off Suit,399043,47879"
"K | 4 Suited,142521,26503"
"Q | Q Off Suit,199484,54695"
"Q | 9 Off Suit,398760,59265"
"4 | 2 Off Suit,399645,31259"
"9 | 4 Off Suit,399372,33662"
"3 | 2 Suited,142157,17991"
"4 | 3 Suited,142970,20274"
"9 | 6 Off Suit,398901,42776"
"K | 6 Off Suit,400878,51277"
"6 | 5 Off Suit,398126,42605"
"8 | 2 Off Suit,399965,29271"
"10 | 9 Suited,142496,28584"
"10 | 9 Off Suit,399422,59448"
"Q | 4 Off Suit,398991,43364"
"K | J Off Suit,398421,74291"
"8 | 6 Suited,142708,23440"
"10 | 4 Off Suit,399527,37442"
"J | 5 Suited,142153,23310"
"J | 10 Off Suit,399400,67656"
"K | 2 Suited,142907,25528"
"A | 8 Suited,142989,31171"
"J | 8 Suited,142848,26828"
"8 | 3 Suited,142909,18660"
"6 | 3 Off Suit,398292,34106"
"9 | 2 Off Suit,399212,31018"
"K | K Off Suit,199339,63793"
"J | 8 Off Suit,398954,52646"
"7 | 6 Off Suit,397771,44886"
"10 | 2 Off Suit,399098,34209"
"10 | 4 Suited,142595,21558"
"8 | 5 Suited,141956,21895"
"6 | 4 Off Suit,399061,38805"
"5 | 5 Off Suit,199701,27602"
"9 | 2 Suited,142306,19109"
"Q | 6 Suited,142858,25398"
"8 | 7 Suited,142554,25071"
"A | 5 Suited,141673,30904"
"J | 7 Off Suit,398814,46978"
"7 | 7 Off Suit,199586,31302"
"J | 10 Suited,142433,31563"
"9 | 7 Suited,142534,24672"
"Q | 6 Off Suit,399206,45935"
"6 | 4 Suited,142090,21263"
"K | 7 Off Suit,398171,52808"
"K | 3 Off Suit,398233,46508"
"A | 8 Off Suit,399096,61349"
"K | 4 Off Suit,398693,48144"
"9 | 9 Off Suit,198566,37408"
"7 | 5 Suited,142301,22367"
"9 | 7 Off Suit,398025,47267"
"A | J Off Suit,398821,77372"
"A | 10 Off Suit,399272,73613"
"7 | 5 Off Suit,399587,41470"
"4 | 3 Off Suit,399895,34734"
"J | 9 Off Suit,399567,58619"
"A | 4 Suited,142045,29903"
"Q | 3 Off Suit,398446,41469"
"Q | 2 Suited,142506,22959"
"10 | 7 Off Suit,399543,47851"
"6 | 5 Suited,142602,22617"
"8 | 4 Suited,142228,20073"
"Q | 10 Suited,143015,32434"
"Q | 8 Off Suit,399101,52780"
"8 | 4 Off Suit,398898,34454"
"A | 9 Off Suit,398469,64491"
"K | 7 Suited,143166,27711"
"A | 6 Suited,142789,29618"
"4 | 4 Off Suit,199286,26369"
"6 | 2 Suited,142198,17999"
"8 | 7 Off Suit,398909,48107"
"K | Q Suited,142222,35358"
"7 | 2 Off Suit,398767,27683"
"8 | 5 Off Suit,399127,39925"
"9 | 5 Off Suit,399285,37810"
"Q | 3 Suited,142992,23576"
"10 | 10 Off Suit,198702,41796"
"Q | 2 Off Suit,398750,40707"
"K | Q Off Suit,398175,78899"
"K | 8 Off Suit,397399,54751"
"9 | 3 Off Suit,399532,32653"
"K | 5 Suited,142243,26692"
"8 | 2 Suited,142725,18546"
"5 | 2 Off Suit,399924,32769"
"10 | 2 Suited,141759,20572"
"K | 10 Off Suit,400130,70884"
"8 | 6 Off Suit,398503,43601"
"7 | 2 Suited,141993,17585"
"5 | 4 Suited,142569,22310"
"K | 9 Suited,142832,30528"
"10 | 8 Suited,142172,26718"
"A | 9 Suited,142989,32216"
"10 | 3 Off Suit,398249,35407"
"J | 2 Suited,142555,21713"
"J | 2 Off Suit,398000,36840"
"5 | 3 Suited,142373,21015"
"A | Q Off Suit,399527,82678"
"J | 4 Off Suit,398805,39906"
"7 | 6 Suited,142338,23572"
"A | 4 Off Suit,397829,57515"
"A | K Off Suit,398315,89135"
"A | 2 Off Suit,398141,53696"
"8 | 3 Off Suit,398883,30520"
"7 | 4 Off Suit,399098,36679"
"Q | 5 Off Suit,398535,44920"
"Q | 7 Suited,142533,25758"
"10 | 6 Suited,142897,23348"
"A | 6 Off Suit,398705,56901"
"3 | 2 Off Suit,399093,28891"
"A | 2 Suited,142448,28794"
"9 | 3 Suited,142684,19991"
"K | J Suited,142541,34251"
"A | 3 Off Suit,399463,55834"
"K | 3 Suited,142178,25872"
"K | 5 Off Suit,399523,49951"
"J | 3 Off Suit,397882,38193"
"Q | 9 Suited,142595,29191"
"9 | 8 Off Suit,399218,51473"
"A | Q Suited,142500,37259"
"9 | 6 Suited,142436,23122"
"K | 6 Suited,142902,27489"
"8 | 8 Off Suit,199611,33740"
"A | 3 Suited,142045,29459"
"J | 4 Suited,143104,22777"
"A | 7 Suited,141805,30111"
"9 | 5 Suited,142363,21560"
"J | 7 Suited,142407,24833"
"5 | 2 Suited,142973,19506"
"K | 10 Suited,142373,33036"
"J | 3 Suited,142887,22164"
"6 | 2 Off Suit,398289,29357"
"3 | 3 Off Suit,199786,25724"
"J | 5 Off Suit,399948,41274"
"A | 7 Off Suit,398576,59358"
"5 | 3 Off Suit,398703,37213"
"9 | 4 Suited,142491,20105"
"J | 6 Off Suit,398535,42661"
"Q | 4 Suited,141975,23806"
"Q | J Suited,142831,33264"
"10 | 6 Off Suit,398985,42903"
"7 | 3 Off Suit,399942,31932"
"A | K Suited,142605,39009"
"J | 9 Suited,142676,28629"
"10 | 8 Off Suit,399000,53456"
"9 | 8 Suited,141796,25745"
"6 | 3 Suited,142657,19898"
"10 | 5 Off Suit,398458,38615"
"A | 5 Off Suit,398712,59399"
