"3354000,1404"
"Jack of Hearts | Ten of Hearts,15236,2730"
"Ace of Hearts | King of Clubs,24365,5697"
"Ten of Spades | Seven of Clubs,24569,2822"
"Ace of Diamonds | Seven of Spades,15560,2155"
"King of Diamonds | Ten of Spades,15495,2502"
"Five of Spades | Three of Clubs,24467,2155"
"Jack of Clubs | Eight of Hearts,24714,3490"
"King of Clubs | Five of Spades,24467,3627"
"Eight of Hearts | Two of Hearts,15316,1433"
"Six of Diamonds | Three of Diamonds,15253,1664"
"King of Clubs | Five of Hearts,24276,3618"
"Nine of Diamonds | Nine of Spades,7692,1527"
"Seven of Clubs | Four of Diamonds,24515,2253"
"Ten of Spades | Nine of Diamonds,15411,2261"
"Four of Spades | Four of Hearts,7780,1199"
"Ace of Hearts | Ten of Clubs,24375,4404"
"Jack of Clubs | Five of Clubs,39183,8230"
"Ace of Diamonds | Two of Spades,15421,1920"
"Queen of Hearts | Ten of Spades,15666,2508"
"Eight of Diamonds | Five of Hearts,15321,1580"
"King of Clubs | Queen of Spades,24402,5147"
"Queen of Spades | Eight of Hearts,15434,1917"
"Five of Clubs | Two of Spades,24298,1990"
"Five of Clubs | Three of Clubs,39397,7082"
"Two of Hearts | Two of Clubs,12176,1327"
"Queen of Diamonds | Ten of Clubs,24129,4093"
"Five of Hearts | Three of Diamonds,15310,1542"
"King of Clubs | Jack of Clubs,39186,11617"
"Seven of Diamonds | Seven of Hearts,7720,1381"
"Ten of Clubs | Nine of Clubs,39328,9784"
"Six of Spades | Three of Diamonds,15249,1403"
"Four of Hearts | Four of Spades,7719,1201"
"Queen of Clubs | Seven of Hearts,24246,3233"
"Nine of Diamonds | Six of Clubs,24468,2614"
"King of Clubs | Seven of Diamonds,24711,3800"
"Ace of Diamonds | Five of Spades,15492,2137"
"Ace of Clubs | King of Diamonds,24342,5942"
"King of Clubs | Nine of Hearts,24467,4164"
"King of Clubs | Seven of Hearts,24313,3734"
"Ace of Diamonds | Queen of Hearts,15549,3040"
"Eight of Diamonds | Eight of Clubs,11954,1859"
"Seven of Clubs | Three of Spades,24178,1912"
"Jack of Clubs | Jack of Hearts,12387,2900"
"Eight of Hearts | Two of Diamonds,15420,1202"
"Eight of Hearts | Four of Clubs,24220,2063"
"Jack of Diamonds | Seven of Diamonds,15446,2083"
"Jack of Clubs | Two of Diamonds,24695,2530"
"Eight of Diamonds | Two of Diamonds,15212,1496"
"Four of Diamonds | Two of Spades,15356,1195"
"Jack of Spades | Five of Hearts,15606,1605"
"Jack of Clubs | Ten of Hearts,24251,4432"
"Queen of Spades | Queen of Hearts,7764,2086"
"Three of Diamonds | Two of Diamonds,15729,1592"
"Seven of Clubs | Five of Clubs,39196,7600"
"Ten of Diamonds | Seven of Clubs,24477,2882"
"Five of Clubs | Two of Clubs,38808,6552"
"Ace of Diamonds | Three of Hearts,15450,2010"
"Seven of Clubs | Two of Hearts,24839,1760"
"Six of Spades | Four of Diamonds,15392,1449"
"Seven of Diamonds | Two of Spades,15373,1129"
"Five of Spades | Two of Hearts,15327,1375"
"King of Clubs | Six of Spades,24486,3677"
"Ace of Hearts | Three of Spades,15377,1971"
"Queen of Hearts | Three of Spades,15314,1546"
"King of Diamonds | Three of Hearts,15573,1672"
"Eight of Spades | Five of Diamonds,15313,1566"
"King of Hearts | Five of Hearts,15211,2092"
"Nine of Clubs | Seven of Spades,24352,2997"
"Ace of Spades | Ten of Hearts,15378,2607"
"Nine of Hearts | Eight of Diamonds,15603,1999"
"Ace of Clubs | Jack of Spades,24772,5412"
"Ace of Hearts | Jack of Clubs,24122,4638"
"Seven of Spades | Four of Spades,15378,1817"
"Eight of Clubs | Seven of Diamonds,24274,3008"
"Ace of Hearts | Four of Spades,15493,2086"
"Six of Spades | Two of Spades,15330,1484"
"Six of Diamonds | Five of Clubs,24555,2594"
"Jack of Diamonds | Six of Spades,15382,1603"
"Three of Clubs | Three of Diamonds,12279,1360"
"Jack of Clubs | Two of Hearts,24561,2544"
"Ace of Hearts | Nine of Hearts,15288,2630"
"Jack of Clubs | Six of Spades,24396,2760"
"Ace of Clubs | Jack of Diamonds,24631,5274"
"Queen of Diamonds | Seven of Hearts,15197,1704"
"Queen of Diamonds | Nine of Spades,15559,2144"
"Six of Clubs | Two of Spades,24203,1781"
"Ace of Diamonds | Jack of Spades,15435,2756"
"Ace of Hearts | Seven of Clubs,24468,3261"
"Queen of Hearts | Ten of Clubs,24287,4160"
"Six of Hearts | Three of Hearts,15217,1620"
"Queen of Clubs | Four of Clubs,38996,8636"
"Five of Clubs | Five of Diamonds,12237,1520"
"King of Hearts | Three of Spades,15478,1758"
"Eight of Clubs | Six of Spades,24557,2706"
"Nine of Clubs | Seven of Diamonds,24671,3045"
"Queen of Spades | Nine of Clubs,24261,3487"
"Jack of Spades | Nine of Clubs,24577,3566"
"Queen of Hearts | Jack of Diamonds,15329,2637"
"King of Diamonds | Queen of Hearts,15322,2877"
"Jack of Clubs | Jack of Spades,12388,2948"
"Ten of Diamonds | Nine of Spades,15567,2204"
"Eight of Diamonds | Six of Diamonds,15508,2047"
"Ten of Spades | Nine of Hearts,15458,2317"
"King of Diamonds | Four of Hearts,15369,1723"
"Ace of Hearts | Six of Spades,15322,2013"
"Ten of Hearts | Nine of Clubs,24370,3714"
"Ace of Hearts | Nine of Spades,15388,2236"
"Jack of Spades | Eight of Spades,15397,2261"
"Nine of Hearts | Four of Hearts,15390,1657"
"Nine of Hearts | Three of Hearts,15300,1590"
"Queen of Clubs | Jack of Hearts,24375,4591"
"Eight of Hearts | Seven of Hearts,15406,2152"
"King of Spades | Five of Diamonds,15379,1839"
"Seven of Diamonds | Three of Hearts,15523,1338"
"Ace of Spades | Queen of Clubs,24485,5212"
"Six of Hearts | Two of Hearts,15389,1574"
"Five of Diamonds | Three of Diamonds,15329,1766"
"Three of Hearts | Three of Clubs,11987,1336"
"Ace of Hearts | Three of Diamonds,15369,1984"
"Five of Diamonds | Four of Spades,15284,1626"
"Six of Clubs | Two of Diamonds,24367,1809"
"Six of Spades | Three of Spades,15496,1729"
"King of Spades | Six of Hearts,15371,1791"
"Nine of Diamonds | Three of Diamonds,15425,1625"
"Jack of Diamonds | Three of Diamonds,15428,1795"
"Eight of Diamonds | Four of Hearts,15531,1384"
"Nine of Diamonds | Four of Spades,15505,1357"
"King of Spades | Six of Diamonds,15308,1810"
"Ace of Spades | Ten of Spades,15307,2920"
"Eight of Diamonds | Seven of Diamonds,15359,2171"
"Jack of Spades | Five of Diamonds,15198,1582"
"Ace of Clubs | Ten of Diamonds,24074,5177"
"Nine of Spades | Nine of Hearts,7714,1540"
"Ten of Diamonds | Two of Diamonds,15363,1697"
"Eight of Clubs | Five of Clubs,39383,7570"
"Ten of Clubs | Two of Clubs,39092,7400"
"Jack of Diamonds | Four of Spades,15331,1495"
"Eight of Hearts | Eight of Spades,7839,1406"
"King of Diamonds | King of Hearts,7764,2404"
"Eight of Hearts | Eight of Clubs,12044,1888"
"Ace of Hearts | Eight of Spades,15243,2191"
"Queen of Hearts | Six of Spades,15427,1739"
"Seven of Hearts | Four of Spades,15217,1414"
"Seven of Hearts | Five of Spades,15157,1662"
"Queen of Diamonds | Jack of Hearts,15238,2616"
"Queen of Hearts | Jack of Clubs,24371,4408"
"Queen of Diamonds | Jack of Diamonds,15394,2947"
"Jack of Hearts | Two of Diamonds,15281,1356"
"Eight of Spades | Eight of Hearts,7666,1414"
"King of Spades | Queen of Clubs,24150,4920"
"Ten of Hearts | Six of Hearts,15378,1956"
"Jack of Spades | Nine of Diamonds,15443,2175"
"Five of Spades | Five of Hearts,7786,1229"
"Ace of Spades | Two of Spades,15480,2252"
"Ten of Diamonds | Three of Diamonds,15452,1724"
"Jack of Diamonds | Three of Spades,15395,1444"
"Nine of Clubs | Six of Spades,24448,2677"
"Queen of Spades | Queen of Diamonds,7741,2166"
"Jack of Spades | Six of Hearts,15324,1587"
"Eight of Hearts | Six of Spades,15457,1644"
"Ten of Diamonds | Three of Spades,15494,1380"
"Ace of Clubs | Ace of Spades,12370,4725"
"Eight of Clubs | Five of Hearts,24650,2575"
"Jack of Diamonds | Eight of Diamonds,15215,2274"
"Nine of Diamonds | Six of Spades,15257,1648"
"Ace of Diamonds | Eight of Hearts,15278,2173"
"Ten of Hearts | Ten of Diamonds,7556,1635"
"King of Hearts | Two of Diamonds,15344,1653"
"Ace of Diamonds | Nine of Hearts,15356,2292"
"Five of Diamonds | Three of Clubs,24285,2227"
"Ace of Spades | Five of Clubs,24365,3387"
"Six of Spades | Six of Hearts,7538,1240"
